epoch,train_loss,val_loss,val_rmse_TMP@2m_above_ground,val_rmse_RH@2m_above_ground,val_rmse_UGRD@10m_above_ground,val_rmse_VGRD@10m_above_ground,val_rmse_GUST@surface,val_rmse_APCP_1hr_acc_fcst@surface,val_rmse_apcp_rain,val_auc,lr,epoch_time
0,0.8936863639240996,0.9555996763352973,5.273871898651123,17.518218994140625,3.1013553142547607,2.2947402000427246,3.9050662517547607,4.04999303817749,4.04999303817749,0.534563929956116,0.001,1028.1027908325195
1,0.8294440426415487,0.7068913153509991,3.961893081665039,15.894999504089355,2.3544297218322754,2.1673803329467773,3.5114500522613525,4.010054111480713,4.010054111480713,0.6013875278712738,0.0009990133642141358,1033.1197056770325
2,0.7762360371129026,0.6955599562706523,4.011497974395752,15.529099464416504,2.340855360031128,2.144253730773926,3.504812240600586,4.01018762588501,4.01018762588501,0.6801638191811172,0.000996057350657239,1034.4946246147156
3,0.7637427119876322,0.7001811386683429,3.8819010257720947,15.822149276733398,2.3468568325042725,2.1786694526672363,3.452918291091919,4.03709077835083,4.03709077835083,0.6807602999446124,0.0009911436253643444,1040.8429675102234
4,0.727260147660339,0.6662969900836864,3.9806125164031982,15.188934326171875,2.285191059112549,2.0517609119415283,3.492217540740967,3.9840075969696045,3.9840075969696045,0.7171988837288569,0.0009842915805643156,1038.9673640727997
5,0.7013146669750202,0.6615914393372211,3.924541711807251,15.496724128723145,2.261061429977417,2.0299012660980225,3.434616804122925,3.9771790504455566,3.9771790504455566,0.7158443753284195,0.0009755282581475769,1043.0365703105927
6,0.6821102851449031,0.6531075915336549,3.9834399223327637,15.386798858642578,2.2116589546203613,2.019594669342041,3.422266960144043,3.98671293258667,3.98671293258667,0.6250248533651458,0.0009648882429441258,1041.3242557048798
7,0.6529813685740096,0.6463111278144605,3.7679975032806396,15.103824615478516,2.1614739894866943,2.0492115020751953,3.4012551307678223,3.953176259994507,3.953176259994507,0.7445961683211907,0.0009524135262330099,1043.251859664917
8,0.6483553009957744,0.6259136995990794,3.537116289138794,14.890284538269043,2.158581018447876,1.9536751508712769,3.4096570014953613,4.014668941497803,4.014668941497803,0.698313876698905,0.0009381533400219318,1040.4579684734344
9,0.6177416428682067,0.6258572480229445,3.703188896179199,15.227150917053223,2.172849416732788,1.9473588466644287,3.3797008991241455,3.9888954162597656,3.9888954162597656,0.6791430559697783,0.0009221639627510075,1063.9584295749664
10,0.6056725853947258,0.6220030587693431,3.579970359802246,14.838687896728516,2.170079469680786,1.9205098152160645,3.4303154945373535,3.985651969909668,3.985651969909668,0.6753262891795548,0.0009045084971874736,1047.6746904850006
11,0.5882917163418333,0.6177437981308634,3.5771374702453613,14.978192329406738,2.1484880447387695,1.9347783327102661,3.3684306144714355,4.007466793060303,4.007466793060303,0.6793046028432249,0.0008852566213878945,1056.4764063358307
12,0.5739665582423049,0.6275696847921765,3.836973190307617,15.252100944519043,2.1658427715301514,1.9355456829071045,3.390059232711792,3.9999260902404785,3.9999260902404785,0.6394114013037365,0.0008644843137107056,1075.8160586357117
13,0.5547618180596992,0.627119438155031,4.012645721435547,14.920642852783203,2.150435209274292,1.9711962938308716,3.390881299972534,3.982699155807495,3.982699155807495,0.6742078877480011,0.0008422735529643443,1049.3216571807861
14,0.5510456785745454,0.645357720620663,3.6523826122283936,15.657960891723633,2.199968099594116,1.933205008506775,3.4752745628356934,3.975649356842041,3.975649356842041,0.6511989973442405,0.0008187119948743448,1041.9878323078156
15,0.5500649780388039,0.6256027086804884,3.4613759517669678,15.936403274536133,2.1537117958068848,1.9168726205825806,3.357282876968384,3.973568916320801,3.973568916320801,0.6618788433953957,0.0007938926261462366,1041.64320230484
16,0.5257907675129506,0.6397961992288075,3.731738328933716,15.41491985321045,2.2115085124969482,1.9605289697647095,3.4011118412017822,3.942864179611206,3.942864179611206,0.7086954823683126,0.0007679133974894982,1042.1027359962463
17,0.5147200793566697,0.6304302726467826,3.7306716442108154,15.138045310974121,2.176551580429077,2.0019330978393555,3.335040330886841,3.9738717079162598,3.9738717079162598,0.6705792964367374,0.0007408768370508576,1040.1497893333435
18,0.49444265847565827,0.6368439892785571,4.034857273101807,15.54093074798584,2.1608142852783203,1.9531761407852173,3.3948891162872314,3.9534549713134766,3.9534549713134766,0.7060006674903783,0.0007128896457825362,1038.1590359210968
19,0.513548974553936,0.6226412393894803,3.510014533996582,15.295953750610352,2.2086617946624756,1.9398503303527832,3.337128162384033,3.956204414367676,3.956204414367676,0.6882393876130828,0.0006840622763423389,1042.43199300766
20,0.4899185676071932,0.628607700285743,3.7730109691619873,15.723240852355957,2.1573548316955566,1.9474433660507202,3.3530735969543457,3.9751079082489014,3.9751079082489014,0.6763843324386123,0.0006545084971874735,1041.478251695633
21,0.47577293940408716,0.6330074582478974,3.4563872814178467,15.030677795410156,2.196401357650757,1.957974910736084,3.4183349609375,3.9877965450286865,3.9877965450286865,0.6959758851348473,0.0006243449435824271,1041.2803688049316
22,0.47001104918323083,0.6366220236017528,3.8620173931121826,15.327669143676758,2.1940393447875977,1.979669451713562,3.3664650917053223,3.9259755611419678,3.9259755611419678,0.6999559740388849,0.0005936906572928622,1043.8145773410797
23,0.4548640812182813,0.6247071012654212,3.5307092666625977,15.054062843322754,2.1574461460113525,1.9286823272705078,3.390200138092041,3.980515956878662,3.980515956878662,0.6659636714811186,0.000562666616782152,1046.5031878948212
24,0.459040660636402,0.6361465021184983,3.582240343093872,15.326091766357422,2.1670570373535156,1.9779448509216309,3.4225997924804688,3.92754864692688,3.92754864692688,0.6719284791160723,0.0005313952597646566,1041.7195854187012
25,0.43288451630129776,0.6376109573121862,3.700300931930542,15.29016399383545,2.1882340908050537,1.9758851528167725,3.4056169986724854,3.962313413619995,3.962313413619995,0.6479254541064859,0.0004999999999999998,1043.758708000183
26,0.43040152250131836,0.6267880685924296,3.357755661010742,15.175020217895508,2.1768240928649902,1.9619998931884766,3.3895366191864014,3.998642683029175,3.998642683029175,0.6915519861389232,0.00046860474023534314,1043.3347432613373
27,0.43863285840616706,0.625337497876638,3.543708562850952,15.469300270080566,2.150998830795288,1.9541491270065308,3.3682520389556885,3.986276388168335,3.986276388168335,0.6821201340661525,0.00043733338321784774,1049.6589450836182
28,0.44383664029253245,0.6228917489418263,3.66023325920105,15.379947662353516,2.1496198177337646,1.9296479225158691,3.3836112022399902,3.962414026260376,3.962414026260376,0.6836716941473875,0.00040630934270713756,1046.553564786911
29,0.41670822945337493,0.63743499216375,3.712120771408081,16.057662963867188,2.176790714263916,1.9594305753707886,3.388014316558838,3.942457914352417,3.942457914352417,0.6787631545311235,0.00037565505641757246,1089.9165115356445
30,0.4198468314632402,0.6319140808775546,3.59195876121521,15.684473037719727,2.1460635662078857,1.9545539617538452,3.385690927505493,3.967099666595459,3.967099666595459,0.6753475920639654,0.00034549150281252633,1048.0454771518707
31,0.4036443614361997,0.6270280957882445,3.4061412811279297,15.5244140625,2.147783041000366,1.970511794090271,3.3603997230529785,3.981062173843384,3.981062173843384,0.6636239046766933,0.00031593772365766105,1051.4922091960907
32,0.40820056332874477,0.6304681330596457,3.5221798419952393,15.178926467895508,2.1639833450317383,1.976829171180725,3.3908395767211914,4.001000881195068,4.001000881195068,0.6339986934230895,0.00028711035421746355,1040.5591759681702
33,0.40444178454707985,0.632032760886468,3.439800500869751,15.576462745666504,2.183964729309082,1.9539313316345215,3.394397735595703,3.936535596847534,3.936535596847534,0.6618326871458395,0.0002591231629491422,1040.3000812530518
34,0.38753341296525146,0.624335824675205,3.5526387691497803,15.124948501586914,2.154320001602173,1.9512476921081543,3.39374041557312,3.988248348236084,3.988248348236084,0.6731383054265547,0.00023208660251050145,1042.4377875328064
35,0.3831779855208244,0.6282878135464551,3.558473825454712,15.428296089172363,2.1584577560424805,1.945803165435791,3.4027597904205322,3.9881808757781982,3.9881808757781982,0.6725054322355247,0.00020610737385376337,1039.621634721756
36,0.3840498640292039,0.6268483001508739,3.5656182765960693,15.45936393737793,2.1446473598480225,1.959630012512207,3.3828861713409424,3.948918342590332,3.948918342590332,0.6743108516893187,0.00018128800512565502,1036.4890043735504
