epoch,train_loss,val_loss,val_rmse_TMP@2m_above_ground,val_rmse_RH@2m_above_ground,val_rmse_UGRD@10m_above_ground,val_rmse_VGRD@10m_above_ground,val_rmse_GUST@surface,val_rmse_APCP_1hr_acc_fcst@surface,val_rmse_apcp_rain,val_auc,lr,epoch_time
0,0.9694398134057345,0.897215603407295,5.406712532043457,19.793567657470703,2.647562026977539,2.3952367305755615,3.708829879760742,4.272700786590576,4.272700786590576,0.54059319034473,0.001,3509.043276309967
1,0.9286654157731205,0.8708836577770089,4.669843673706055,19.83011817932129,2.5695908069610596,2.3983523845672607,3.700129508972168,4.232426166534424,4.232426166534424,0.49664613859984424,0.0009972609476841367,3616.1855521202087
2,0.8936919676665895,0.8325114677313203,4.549501895904541,19.627017974853516,2.445356845855713,2.3503737449645996,3.624636173248291,4.24410343170166,4.24410343170166,0.5584908331563673,0.0009890738003669028,3793.9813771247864
3,0.8448124116640484,0.8062692148720517,4.086813926696777,18.673168182373047,2.4142396450042725,2.347759246826172,3.6191492080688477,4.268826484680176,4.268826484680176,0.5951978480923055,0.0009755282581475768,3860.823096513748
4,0.8099439594133747,0.7998559855535126,4.7291717529296875,18.11623764038086,2.402181625366211,2.337346315383911,3.581395387649536,4.253493785858154,4.253493785858154,0.5908572237559283,0.0009567727288213003,3797.4712178707123
5,0.8135996000024395,0.7789449118474284,4.579240322113037,16.85554313659668,2.4107768535614014,2.2980380058288574,3.612002372741699,4.257910251617432,4.257910251617432,0.6087775182275077,0.0009330127018922195,3547.5281982421875
6,0.755032422506419,0.7767925952712507,4.471044540405273,17.646873474121094,2.421461582183838,2.2706475257873535,3.556476593017578,4.266472816467285,4.266472816467285,0.6226148509945495,0.0009045084971874739,3574.9511058330536
7,0.7682704673861478,0.7712122615301559,4.99840784072876,16.953264236450195,2.4244229793548584,2.2297043800354004,3.556278705596924,4.245318412780762,4.245318412780762,0.6438366249026686,0.0008715724127386972,3546.699333190918
8,0.7265733890700335,0.7625955395238782,4.420103549957275,17.4490909576416,2.4445183277130127,2.1511144638061523,3.54777193069458,4.2352681159973145,4.2352681159973145,0.6834798612585828,0.0008345653031794292,3564.0184309482574
9,0.704467152838712,0.7387683321787071,4.340506553649902,16.942920684814453,2.3976049423217773,2.117706060409546,3.540882110595703,4.231411933898926,4.231411933898926,0.6471904863028244,0.0007938926261462366,3553.0680656433105
10,0.688722341989031,0.7526245468742206,4.694699764251709,17.405031204223633,2.4494407176971436,2.1205453872680664,3.482043504714966,4.25314998626709,4.25314998626709,0.5863948467473633,0.00075,3524.362450838089
11,0.692396035008761,0.7433370545634306,4.3979082107543945,16.572357177734375,2.4694137573242188,2.123399257659912,3.51847505569458,4.237219333648682,4.237219333648682,0.6519034472994975,0.0007033683215379003,3525.1786019802094
12,0.6571117172872052,0.7516756731369832,4.438153266906738,17.01598358154297,2.479844570159912,2.0871293544769287,3.5682506561279297,4.262879848480225,4.262879848480225,0.6262787569901607,0.0006545084971874739,3558.8486847877502
13,0.6456208788800913,0.742648685064052,4.5124077796936035,16.88825798034668,2.482537031173706,2.0702269077301025,3.531909227371216,4.249969959259033,4.249969959259033,0.6176484745522758,0.0006039558454088797,3565.6775925159454
14,0.640807209354917,0.7346759857551172,4.405128002166748,16.479949951171875,2.39654803276062,2.1190671920776367,3.542963743209839,4.270796775817871,4.270796775817871,0.6249224888511361,0.0005522642316338269,3524.457174062729
15,0.6346570787790974,0.7375467015764251,4.229086399078369,17.282270431518555,2.4571146965026855,2.048534393310547,3.544865369796753,4.253208637237549,4.253208637237549,0.6042839951865222,0.0005000000000000002,3567.668643474579
16,0.6461742260201012,0.740867623065387,4.179416179656982,16.949966430664062,2.5311100482940674,2.0352365970611572,3.540658712387085,4.254696369171143,4.254696369171143,0.6202958873079918,0.0004477357683661734,3585.4673640727997
17,0.618615499814756,0.7246992849387458,4.434777736663818,16.954538345336914,2.397777795791626,2.053666353225708,3.497748851776123,4.247354507446289,4.247354507446289,0.6246988037092094,0.00039604415459112036,3579.4604823589325
18,0.5988242832598442,0.7268024181441015,4.315685272216797,16.797996520996094,2.39900541305542,2.068852663040161,3.538142442703247,4.256247043609619,4.256247043609619,0.6480158561619593,0.0003454915028125264,3611.313402891159
19,0.6109689630881471,0.7282280113981092,4.507413864135742,16.926586151123047,2.375396490097046,2.070140838623047,3.5291848182678223,4.250403881072998,4.250403881072998,0.617839597933036,0.00029663167846210003,3675.4820692539215
20,0.5901548392524306,0.7256511665974595,4.139360427856445,16.765016555786133,2.426575183868408,2.0531435012817383,3.5301215648651123,4.2682600021362305,4.2682600021362305,0.6184894174276209,0.00025000000000000017,3725.266067504883
21,0.5733422258208674,0.7219748574873844,4.173712730407715,16.662639617919922,2.4014406204223633,2.03853178024292,3.550074815750122,4.257197380065918,4.257197380065918,0.6331903447299497,0.00020610737385376354,3617.9604921340942
22,0.6353636898075197,0.7166434746765185,4.264461040496826,16.5057315826416,2.379103660583496,2.0507092475891113,3.529810905456543,4.249375343322754,4.249375343322754,0.6260069370708572,0.00016543469682057108,3595.4895453453064
23,0.5416178744863103,0.7248036279264806,4.498208999633789,16.5439510345459,2.3847286701202393,2.0648508071899414,3.5429558753967285,4.253086090087891,4.253086090087891,0.615541870177674,0.00012842758726130303,3600.3272457122803
