epoch,train_loss,val_loss,val_rmse_TMP@2m_above_ground,val_rmse_RH@2m_above_ground,val_rmse_UGRD@10m_above_ground,val_rmse_VGRD@10m_above_ground,val_rmse_GUST@surface,val_rmse_APCP_1hr_acc_fcst@surface,val_rmse_apcp_rain,val_auc,lr,epoch_time
0,0.8629330501880634,0.7461937959881062,4.613430500030518,17.10580825805664,2.405733585357666,2.173405408859253,3.6293671131134033,3.9993977546691895,3.9993977546691895,0.6858552397994689,0.001,1022.3561544418335
1,0.7709555090718584,0.7183619638593252,3.7201173305511475,15.823558807373047,2.408052444458008,2.157933473587036,3.653085947036743,3.992074489593506,3.992074489593506,0.6652216210074844,0.0009972609476841367,1043.6447021961212
2,0.7175835505583117,0.6699440702350729,3.729990243911743,15.758979797363281,2.297022819519043,2.022996425628662,3.5049808025360107,3.9897286891937256,3.9897286891937256,0.716776376521381,0.0009890738003669028,1073.8818473815918
3,0.6625657879104118,0.6945024974666447,3.876194953918457,15.909296989440918,2.3218774795532227,2.1381428241729736,3.453700065612793,3.995760440826416,3.995760440826416,0.693034311845824,0.0009755282581475768,1048.1590893268585
4,0.6425622425267375,0.6684640944486417,3.627598524093628,15.2798490524292,2.3191919326782227,2.0073094367980957,3.5903050899505615,3.9487428665161133,3.9487428665161133,0.697708519733572,0.0009567727288213003,1061.797564983368
5,0.6051407135382034,0.700282398295919,3.8363265991210938,15.34791088104248,2.3436858654022217,2.085738182067871,3.6597611904144287,3.9705965518951416,3.9705965518951416,0.6979357505006177,0.0009330127018922195,1045.6441292762756
6,0.6127930531914617,0.6496175192964385,3.500884532928467,15.254988670349121,2.2530767917633057,1.9650192260742188,3.5569798946380615,3.9664595127105713,3.9664595127105713,0.7125992359365458,0.0009045084971874739,1049.5722315311432
7,0.5722187046203159,0.662119925541588,3.7317564487457275,14.68553352355957,2.2794928550720215,2.0233490467071533,3.606410503387451,3.912053346633911,3.912053346633911,0.7399610157215287,0.0008715724127386972,1031.3490762710571
8,0.521934112366707,0.686272602398468,3.3753509521484375,15.662420272827148,2.3244194984436035,2.0057969093322754,3.6818645000457764,3.8977673053741455,3.8977673053741455,0.7394444207745728,0.0008345653031794292,1035.7015647888184
9,0.48091585743717125,0.6817465311999755,3.5332064628601074,15.702956199645996,2.4285268783569336,1.9853906631469727,3.5701239109039307,3.95491886138916,3.95491886138916,0.7464033630153523,0.0007938926261462366,1043.2568542957306
10,0.4506940070093793,0.6882923954533806,3.440352201461792,15.312736511230469,2.3564090728759766,2.054232597351074,3.6366231441497803,3.9286818504333496,3.9286818504333496,0.72168136565691,0.00075,1063.7543649673462
11,0.41260236813837753,0.7251435331740524,3.648837089538574,15.510181427001953,2.3380684852600098,2.153259754180908,3.8170764446258545,3.896679401397705,3.896679401397705,0.7345216792353685,0.0007033683215379003,1045.4325318336487
12,0.3806968925850573,0.7144307720909021,3.278717279434204,15.571980476379395,2.4568002223968506,2.0535974502563477,3.8009114265441895,3.9139554500579834,3.9139554500579834,0.6921875221905046,0.0006545084971874739,1050.159848690033
13,0.3560202681178464,0.6888687704333598,3.279188632965088,15.592803955078125,2.369687795639038,2.052913188934326,3.627971887588501,3.9439358711242676,3.9439358711242676,0.6516144035902461,0.0006039558454088797,1076.1691009998322
14,0.338704058791318,0.6987050080605118,3.5272629261016846,15.534326553344727,2.3919272422790527,2.023913860321045,3.7162740230560303,3.9250400066375732,3.9250400066375732,0.7007086759547243,0.0005522642316338269,1027.3945107460022
15,0.332466534211154,0.6854761075933438,3.23229718208313,15.483907699584961,2.3915178775787354,2.038273334503174,3.644012689590454,3.944007158279419,3.944007158279419,0.6880600883359608,0.0005000000000000002,1052.7725148200989
16,0.29831830013608396,0.692411784023284,3.2960205078125,15.668183326721191,2.373724937438965,2.025235652923584,3.6909878253936768,3.8851025104522705,3.8851025104522705,0.6694466930822434,0.0004477357683661734,986.0592384338379
