epoch,train_loss,val_loss,val_rmse_TMP@2m_above_ground,val_rmse_RH@2m_above_ground,val_rmse_UGRD@10m_above_ground,val_rmse_VGRD@10m_above_ground,val_rmse_GUST@surface,val_rmse_APCP_1hr_acc_fcst@surface,val_rmse_apcp_rain,val_auc,lr,epoch_time
0,0.845298957525569,0.7696623013603437,4.226180076599121,17.154056549072266,2.3674490451812744,2.2526743412017822,3.7211410999298096,3.8630032539367676,3.8630032539367676,0.5573633419965064,0.001,1022.6582660675049
1,0.7281466210423563,0.7031891033409601,3.5546112060546875,15.77682113647461,2.4165523052215576,2.1034746170043945,3.575770854949951,3.9474422931671143,3.9474422931671143,0.6886228395324727,0.0009972609476841367,1044.0828740596771
2,0.6753712995744257,0.6517570137409902,3.480037212371826,15.432456016540527,2.1739296913146973,1.9899688959121704,3.5911803245544434,3.9648640155792236,3.9648640155792236,0.7142626361609362,0.0009890738003669028,1074.6102030277252
3,0.6193566343740112,0.685624594293698,3.2126805782318115,16.348569869995117,2.3245677947998047,2.005315065383911,3.6041059494018555,3.858203649520874,3.858203649520874,0.7576157811767713,0.0009755282581475768,1048.4075729846954
4,0.5723761260611681,0.6503599146714961,3.096991539001465,14.976963996887207,2.178133010864258,2.009796380996704,3.5760092735290527,3.8970322608947754,3.8970322608947754,0.6719941630096715,0.0009567727288213003,1062.0535066127777
5,0.5513379489004314,0.6368629387858142,3.211484432220459,15.089682579040527,2.2498841285705566,1.9474149942398071,3.472571849822998,3.986654758453369,3.986654758453369,0.7143851277462968,0.0009330127018922195,1046.1375217437744
6,0.5250182573421117,0.6648148367556176,3.1821694374084473,16.93962287902832,2.2418322563171387,1.9431793689727783,3.4266440868377686,3.847435235977173,3.847435235977173,0.7239110675585475,0.0009045084971874739,1049.6441180706024
7,0.4815662880695223,0.6670275637991281,3.304121255874634,15.413125038146973,2.224445343017578,2.011012554168701,3.6074750423431396,3.9059865474700928,3.9059865474700928,0.6942840810645763,0.0008715724127386972,1032.0197324752808
8,0.46265595995976666,0.6998466300514649,3.4356770515441895,15.896629333496094,2.273594379425049,2.031177043914795,3.78136944770813,3.960228681564331,3.960228681564331,0.6829846761251473,0.0008345653031794292,1035.9491693973541
9,0.4297995015174727,0.6573928363984859,3.2508656978607178,15.758203506469727,2.1951231956481934,1.9509199857711792,3.601855754852295,3.909933567047119,3.909933567047119,0.7197694317810631,0.0007938926261462366,1043.6856677532196
10,0.4022546454738879,0.6803971567113264,3.4736788272857666,15.759612083435059,2.2604193687438965,2.0487782955169678,3.5834782123565674,3.9888687133789062,3.9888687133789062,0.6945042108701518,0.00075,1063.9607982635498
11,0.3834042063312712,0.6618106292108021,3.1439497470855713,15.440333366394043,2.3355023860931396,1.9779828786849976,3.5023748874664307,3.9751203060150146,3.9751203060150146,0.6998024157470921,0.0007033683215379003,1045.708640575409
12,0.360224605575111,0.6849352338228865,3.300849199295044,15.138813018798828,2.289508819580078,2.022490978240967,3.665973424911499,3.8321285247802734,3.8321285247802734,0.689735915242924,0.0006545084971874739,1050.3541188240051
13,0.3381919864811319,0.666864545804363,3.346775770187378,15.648131370544434,2.2006750106811523,2.021444797515869,3.6005611419677734,3.9586286544799805,3.9586286544799805,0.6571300754122108,0.0006039558454088797,1076.4273297786713
14,0.3182697650230957,0.6620407280423103,3.3005175590515137,15.58455753326416,2.2387685775756836,1.9921027421951294,3.582078456878662,3.9967331886291504,3.9967331886291504,0.6933396531890419,0.0005522642316338269,1036.4002907276154
15,0.305185903458301,0.7015498118601234,3.4366824626922607,15.482695579528809,2.2922427654266357,1.9895539283752441,3.806217908859253,3.960953950881958,3.960953950881958,0.6573182508911708,0.0005000000000000002,1044.3215820789337
